교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
안양고가교(판교),안양시 동안구,B,27,1,37.37919,126.946985
장하3교(목포0),안산시 상록구,B,28,기타,37.344044,126.860457
장하3교(목포1),안산시 상록구,B,22,기타,37.344044,126.860457
장하3교(목포2),안산시 상록구,B,8,기타,37.344044,126.860457
장하3교(서울0),안산시 상록구,B,28,기타,37.344044,126.860457
장하3교(서울1),안산시 상록구,B,22,기타,37.344044,126.860457
장하3교(서울2),안산시 상록구,B,17,기타,37.344044,126.860457
장하3교(서울3),안산시 상록구,B,8,기타,37.344044,126.860457
장하2교(목포0),안산시 상록구,B,28,3,37.352637,126.861836
장하2교(목포1),안산시 상록구,B,22,3,37.352637,126.861836
장하2교(목포2),안산시 상록구,B,19,3,37.352637,126.861836
장하2교(목포3),안산시 상록구,B,8,기타,37.352637,126.861836
장하2교(서울0),안산시 상록구,B,28,3,37.352637,126.861836
장하2교(서울1),안산시 상록구,B,22,3,37.352637,126.861836
장하2교(서울2),안산시 상록구,B,17,3,37.352637,126.861836
장하2교(서울3),안산시 상록구,B,8,기타,37.352637,126.861836
장하1교(목포0),안산시 상록구,B,28,기타,37.352637,126.861836
장하1교(목포1),안산시 상록구,B,19,기타,37.352637,126.861836
장하1교(서울),안산시 상록구,B,28,기타,37.352637,126.861836
조남3교(목포0),시흥시,B,28,기타,37.361002,126.86603
조남3교(목포1),시흥시,B,8,기타,37.361002,126.86603
조남3교(서울0),시흥시,B,28,기타,37.361002,126.86603
조남3교(서울1),시흥시,B,8,기타,37.361002,126.86603
조남2교(목포0),시흥시,B,28,기타,37.378504,126.867806
조남2교(목포1),시흥시,A,8,기타,37.378504,126.867806
조남2교(서울0),시흥시,B,28,기타,37.378504,126.867806
조남2교(서울1),시흥시,A,8,기타,37.378504,126.867806
조남1교(목포0),시흥시,B,28,1,37.378504,126.867806
조남1교(목포1),시흥시,B,8,1,37.378504,126.867806
조남1교(서울0),시흥시,B,28,1,37.378504,126.867806
조남1교(서울1),시흥시,B,8,1,37.378504,126.867806
